Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	(m/s²)(N)	 
1.0742187500000e+000	      -0.0294732	      -0.4408906
1.0937500000000e+000	      -0.3214487	      -0.3013579
1.1132812500000e+000	      -0.5123466	       -0.124014
1.1328125000000e+000	      -0.4320794	      0.04054187
1.1523437500000e+000	      -0.4042112	       0.1584633
1.1718750000000e+000	      -0.1194649	       0.3635684
1.1914062500000e+000	     -0.09984734	      0.01572954
1.2109375000000e+000	      -0.3727568	     -0.04265096
1.2304687500000e+000	     -0.02023275	       0.2001044
1.2500000000000e+000	     -0.06964851	      -0.3175297
1.2695312500000e+000	       -0.291387	      -0.1822421
1.2890625000000e+000	     -0.05165509	      -0.2497347
1.3085937500000e+000	      -0.4174908	      -0.2107368
1.3281250000000e+000	       -0.367565	     -0.06028502
1.3476562500000e+000	     -0.03334648	      -0.1294169
1.3671875000000e+000	      -0.3789345	     -0.08125629
1.3867187500000e+000	       -0.190602	     -0.03154038
1.4062500000000e+000	      -0.1873308	   -0.0004045334
1.4257812500000e+000	      0.05379657	     -0.07282909
1.4453125000000e+000	      0.01686694	     -0.06850995
1.4648437500000e+000	      -0.2504739	       -0.107183
1.4843750000000e+000	      -0.3917982	      -0.1233958
1.5039062500000e+000	      -0.2580938	      -0.1050078
1.5234375000000e+000	   -0.0006504144	      -0.1597911
1.5429687500000e+000	      -0.3073072	     -0.09667262
1.5625000000000e+000	      -0.2788947	     -0.00370181
1.5820312500000e+000	      -0.3685616	     0.005889231
1.6015625000000e+000	      -0.1932243	     -0.06528229
1.6210937500000e+000	      -0.2800345	      -0.1831029
1.6406250000000e+000	      -0.3052838	      0.07786152
1.6601562500000e+000	      -0.1256329	     -0.08599227
1.6796875000000e+000	      -0.2016099	      -0.2254947
1.6992187500000e+000	      -0.1235562	    -0.007725626
1.7187500000000e+000	      -0.3857053	     -0.07612426
1.7382812500000e+000	      -0.2332618	      0.06787046
1.7578125000000e+000	      -0.1613432	      -0.1575341
1.7773437500000e+000	      -0.3408563	      -0.2772032
1.7968750000000e+000	      -0.4271912	     -0.05607528
1.8164062500000e+000	      -0.2560824	     -0.06665367
1.8359375000000e+000	       -0.175993	     -0.05676285
1.8554687500000e+000	       -0.306853	     0.002314111
1.8750000000000e+000	       -0.193441	     -0.01272288
1.8945312500000e+000	      -0.3296422	      -0.1293579
1.9140625000000e+000	       -0.349798	     -0.07874631
1.9335937500000e+000	      -0.2064679	      0.04656526
1.9531250000000e+000	      -0.2257653	      0.05496797
1.9726562500000e+000	      -0.2828406	      -0.1012601
1.9921875000000e+000	      -0.2165499	     -0.06787609
2.0117187500000e+000	      -0.2285879	    -0.007988799
2.0312500000000e+000	      -0.3123411	      0.03894751
2.0507812500000e+000	      -0.2999795	      0.08372848
2.0703125000000e+000	       -0.151884	      0.07973123
2.0898437500000e+000	      -0.1344508	      0.01895547
2.1093750000000e+000	      -0.3312564	      -0.1401193
2.1289062500000e+000	      -0.2792764	      0.05222969
2.1484375000000e+000	      -0.1372733	      0.06481439
2.1679687500000e+000	      -0.2311035	      0.02001352
2.1875000000000e+000	      -0.2500931	      -0.1818066
2.2070312500000e+000	      -0.2395134	      -0.0947179
2.2265625000000e+000	      -0.3878284	       0.0132106
2.2460937500000e+000	      -0.2038242	       0.1134874
2.2656250000000e+000	      -0.1907542	       0.1072707
2.2851562500000e+000	      -0.1549866	      -0.0647113
